Thread ID,Message ID,Sender Account ID,Created At,Content Type,Text,Reference ID
692881543,6803654336,20218142,2017-01-19T05:15:23.000Z,TextContent,"Availability has been updated, please try requested dates again...",
692881543,6803654224,56026421,2017-01-19T04:59:03.000Z,TextAndReferenceContent,"Hi , can you change these dates to 24th and 25th Jan ?",1820275285
692881543,6803654454,20218142,2017-01-19T05:18:03.000Z,TextAndReferenceContent,,1820275385
692881543,6803654665,20218142,2017-01-19T05:24:23.000Z,TextAndReferenceContent,,1820275494
692881543,6803654938,20218142,2017-01-26T06:19:21.000Z,TextAndReferenceContent,,1820275612
692881543,6803655267,56026421,2017-02-13T11:37:34.000Z,TextAndReferenceContent,"Hi Johan, please let me know if your lovely cottage is available for 1 night 20th February. Please also let me know what dinner and breakfast menu will be.",1820275720
692881543,6803655548,20218142,2017-02-13T11:37:35.000Z,TextAndReferenceContent,,1820275824
692881543,6803655756,20218142,2017-02-13T18:05:08.000Z,TextAndReferenceContent,,1820275889
692881543,6803655994,20218142,2017-02-13T21:26:16.000Z,TextAndReferenceContent,,1820275928
692881543,6803656266,20218142,2017-02-21T06:36:14.000Z,TextAndReferenceContent,,1820275972
692881543,6803656473,20218142,2017-02-27T08:40:04.000Z,TextAndReferenceContent,,1820276020
692881543,6803656607,20218142,2017-02-27T09:24:56.000Z,TextAndReferenceContent,,1820276044
692881543,6803656716,20218142,2017-03-03T06:09:56.000Z,TextAndReferenceContent,,1820276057
692881543,6803656895,56026421,2017-04-18T10:02:00.000Z,TextAndReferenceContent,"Hi Johan , do you have availability Thursday 20th and Friday 21st. I am in JHB on super important business trip (everybody says so) ...  ",1820276089
692881543,6803656956,20218142,2017-04-18T10:03:09.000Z,TextAndReferenceContent,,1820276099
692881543,6803657015,20218142,2017-04-18T10:12:30.000Z,TextAndReferenceContent,,1820276109
692881543,6803657071,20218142,2017-04-22T11:08:52.000Z,TextAndReferenceContent,,1820276113
816309815,7704461302,20218142,2014-08-18T17:34:19.000Z,TextAndReferenceContent,"Hi André,  I'll be driving from Johannesburg,  till what time can I check in? ",2056600210
816309815,7704461433,12686316,2014-08-19T08:50:55.000Z,TextAndReferenceContent,,2056600264
816311788,7704472152,20218142,2014-08-18T17:43:06.000Z,TextAndReferenceContent,"Hi,  I'll be driving from Johannesburg,  till what time can I check in? ",2056603384
851333085,7926964177,17194220,2015-06-07T15:01:42.000Z,TextContent,"Johan
dankie vir jou navraag.  ek kan jou akkommodeer by Meeulander vir die tydperk versoek.
laat weet indien jy enige verdere inligting benodig.
groete
Nita ",
851333085,7926964002,20218142,2015-06-07T04:45:29.000Z,TextAndReferenceContent,"Hi Nina, ons vlieg af vanaf JNB, laat weet of jul beskikbaarheid het oor die tydperk. Groete Johan",2118342506
851333085,7926964118,17194220,2015-06-07T14:59:43.000Z,TextAndReferenceContent,,2118342545
912629323,8541032457,20218142,2021-01-23T09:50:44.459Z,TextAndReferenceContent,"Hi Hilton, we will check in at 2pm...",2287331073
912629323,8541032522,20218142,2021-01-23T09:50:46.439Z,TextAndReferenceContent,"Hi Hilton, we will check in at 2pm...",2287331087
912629323,8541056083,20218142,2021-01-23T10:01:47.678Z,TextAndReferenceContent,,2287337216
912629323,8541029385,,2021-01-23T09:49:12.235Z,EventDescriptionContent,,
912629323,8541029397,20218142,2021-01-23T09:49:12.359Z,TextAndReferenceContent,,2287330283
968198850,9245174850,20218142,2021-05-20T14:07:00.496Z,TextAndReferenceContent,Hi Janice! I'll be visiting...I've heard so much about your fine meals and magnetic persona. We can't wait. ,2484320824
968198850,9245175975,,2021-05-20T14:07:10.088Z,TextAndReferenceContent,,2484321094
968198850,9362951679,,2021-06-05T14:16:57.811Z,TextAndReferenceContent,,2516043692
968198850,9245174752,,2021-05-20T14:06:59.589Z,TextAndReferenceContent,,2484320810
968198850,9245175071,,2021-05-20T14:07:02.366Z,InvalidationContent,,
968198850,9245174726,,2021-05-20T14:06:59.315Z,EventDescriptionContent,,
1053359804,10446037004,20218142,2021-10-17T10:15:52.580Z,TextAndReferenceContent,"Hi Hayley, can you please confirm my booking, else I'd like to select another property. Tx Johan. ",2786961173
1053359804,10446229688,,2021-10-17T11:04:18.968Z,TextAndReferenceContent,,2787012365
1053359804,10470862178,20218142,2021-10-20T19:39:53.568Z,TextContent,"Hi Hayley,

We're flexible, so let me know when you're avail.... Anytime between 2 and 4pm...👍🏻

Tx

Johan",
1053359804,10497302724,20218142,2021-10-24T18:26:17.392Z,TextContent,"Hi Hayley,

Is the cottage available 6-10 Jan?

Thanks

Johan",
1053359804,10446229338,,2021-10-17T11:04:15.244Z,InvalidationContent,,
1053359804,10495798587,70597028,2021-10-24T14:31:17.100Z,TextContent,Pleasure Johan.  Thank you for your support.,
1053359804,10473581464,70597028,2021-10-21T06:51:48.126Z,TextContent,"Hi Johan,  I am going to leave the key under the 2nd rock nearest to the front gate (my key pad is needing repair).  You are welcome to arrive anytime from 2.  The cottage is ready.  Please park on the grass infront of the beach cottage sign.  The wifi is my phone number.  I have left the covers on the outside furniture as we are expecting rain Friday evening/Sat morning + strong winds.  I do hope that you enjoy your stay.  Thanks Hayley",
1053359804,10446036967,,2021-10-17T10:15:52.063Z,EventDescriptionContent,,
1053359804,10494196932,70597028,2021-10-24T08:45:08.885Z,TextContent,Good day Johan you are welcome to leave a bit later as no one is arriving today.  Hope you enjoyed your stay.  Regards Hayley,
1053359804,10484432648,70597028,2021-10-22T18:03:59.198Z,TextContent,Evening Johan hope you are settled in.  Is that your car with boards on it?  If so I would suggest to bring them in at night.  Thanks Hayley,
1053359804,10491671614,70597028,2021-10-23T20:04:05.874Z,TextContent,Hi Johan I have just seen that we are meant to be having load shedding from 10:00 tonight?  Just so you know if lights go out.,
1053359804,10484442926,20218142,2021-10-22T18:05:27.154Z,TextContent,"Okay, will do... Thanks Hayley... ",
1053359804,10495918218,,2021-10-24T14:50:19.713Z,TextAndReferenceContent,,2798885135
1053359804,10446510784,70597028,2021-10-17T12:03:52.819Z,TextContent,Good day Johan - yes you are welcome to book the cottage.  Thank you Hayley,
1053359804,10494532783,20218142,2021-10-24T10:16:04.745Z,TextContent,"Hi Hayley, we've checked out 😉. Thanks for an awesome stay. The keys are back under the second rock.... Cheers Johan ",
1053359804,10446036975,,2021-10-17T10:15:52.249Z,TextAndReferenceContent,,2786961170
1053359804,10473905825,20218142,2021-10-21T08:22:30.642Z,TextContent,"Okay cool.

Johan",
1053359804,10470762286,70597028,2021-10-20T19:23:50.042Z,TextContent,"Good evening Johan, hope you are well.  What time can we expect you on Friday.  Thank you Hayley",
1053359804,10484684694,70597028,2021-10-22T18:42:38.682Z,TextContent,Pleasure,
1147111193,11553299930,,2022-03-23T12:22:16.500Z,TextAndReferenceContent,,3043711327
1147111193,11553298192,,2022-03-23T12:21:57.973Z,TextAndReferenceContent,,3043710930
1147111193,11584445256,,2022-03-27T14:55:43.046Z,TextAndReferenceContent,,3050971591
1147111193,11553298158,,2022-03-23T12:21:57.608Z,EventDescriptionContent,,
1381460138,14749220876,,2023-03-03T14:28:32.854Z,TextAndReferenceContent,,3663924421
1381460138,14325318518,20218142,2023-01-17T12:37:20.702Z,FinishAssetUploadContent,,
1381460138,14722073250,385222506,2023-02-28T19:02:52.063Z,TextContent,"Hey Johan,

I hope that you have settled in alright and that you are enjoying your stay.
Please let me know if there is anything you need or if I can assist you in any way.

Always here to help,",
1381460138,14737891292,20218142,2023-03-02T12:17:38.215Z,TextContent,🥇Thanks,
1381460138,14324926537,,2023-01-17T11:29:43.439Z,EventDescriptionContent,,
1381460138,14324939469,385222506,2023-01-17T11:32:05.301Z,TextContent,"Hi Johan,

Thank you so much for booking with us!

Please just a friendly reminder that the number of guests shall be in accordance with those stated on the booking details and additional guests/visitors are not permitted. This is a building policy set out by the body corporate and is for yours and your neighbours’ privacy and security.

This is a building policy set up by the body corporate. 

We will be in contact two days before your arrival with all of the details you'll need for a smooth check in and a wonderful stay.

We offer reliable and affordable airport transfers and tours. Our drivers can fetch you in a standard vehicle or shuttle. . Please let us know if you would like any transfers and/or tours during your stay. Please just let us know if you are interested and we can quote accordingly. 

If you would like to get in touch, and have any questions before or during your stay, we request that you use this message platform to message us. This will result in an immediate response during our working hours of 8am – 10pm daily. Please note that the number provided on Airbnb for us will not work as this is my private number and set to do not disturb. Hence, I am unable to assist and be contactable by phone. However, I have a dedicate online guest communication centre who will respond to you during the hours mentioned. If you have a critical issue – please message here with the issue and request for urgent assistance. If the online team cannot assist via a reply message immediately, they will send you my number for urgent assistance as well as warn me to expect the call so I can make myself available. 

A requirement of Hydro Park Apartments is for preadmission of guests. In order to complete the preadmission process - please send us a copy of all booked guests valid identification documentation, as well as the following information: 
1. FULL NAME AND SURNAME
2. CONTACT NUMBER
3. VEHICLE REGISTRATION SHOULD YOU REQUIRE PARKING
4. ID / PASSPORT NUMBER - The building only accepts South African ID, South African drivers license or foreign/South African passports. 
Please note that you will need your identification on arrival. NO ID; NO ENTRY. You need your actual ID on check in (all guests) and not a copy of your ID. 

Looking forward to hosting you :)

Kind Regards,

The Starhost Team",
